Gene_ID	module	ID
AgateH2.20G011000	antiquewhite2	AS037
AgateH2.21G066200	antiquewhite2	AS037
AgateH2.23G045900	antiquewhite2	AS037
AgateH2.02G119000	antiquewhite2	AS037
AgateH2.04G119600	antiquewhite2	AS037
AgateH2.04G142600	antiquewhite2	AS037
AgateH2.05G275100	antiquewhite2	AS037
AgateH2.08G133100	antiquewhite2	AS037
AgateH2.02G182300	antiquewhite2	AS037
AgateH2.03G109700	antiquewhite2	AS037
AgateH2.07G012300	antiquewhite2	AS037
AgateH2.1Z005100	antiquewhite2	AS037
AgateH2.14G053900	antiquewhite2	AS037
AgateH2.01G113500	antiquewhite2	AS037
AgateH2.08G076900	antiquewhite2	AS037
AgateH2.01G069500	antiquewhite2	AS037
AgateH2.08G169400	antiquewhite2	AS037
AgateH2.25G047300	antiquewhite2	AS037
AgateH2.26G000800	antiquewhite2	AS037
AgateH2.23G027500	antiquewhite2	AS037
AgateH2.11G039300	antiquewhite2	AS037
AgateH2.03G254000	antiquewhite2	AS037
AgateH2.05G248900	antiquewhite2	AS037
AgateH2.07G003600	antiquewhite2	AS037
AgateH2.14G118400	antiquewhite2	AS037
AgateH2.15G024000	antiquewhite2	AS037
AgateH2.17G095500	antiquewhite2	AS037
AgateH2.05G215000	antiquewhite2	AS037
AgateH2.05G294500	antiquewhite2	AS037
AgateH2.04G041100	antiquewhite2	AS037
AgateH2.26G029200	antiquewhite2	AS037
AgateH2.03G041600	antiquewhite2	AS037
AgateH2.10G105900	antiquewhite2	AS037
AgateH2.01G306500	antiquewhite2	AS037
AgateH2.19G004400	antiquewhite2	AS037
AgateH2.21G043400	antiquewhite2	AS037
AgateH2.17G069000	antiquewhite2	AS037
AgateH2.04G199700	antiquewhite2	AS037
AgateH2.21G073200	antiquewhite2	AS037
AgateH2.09G016500	antiquewhite2	AS037
AgateH2.07G099200	antiquewhite2	AS037
AgateH2.04G287300	antiquewhite2	AS037
AgateH2.09G082000	antiquewhite2	AS037
AgateH2.07G089900	antiquewhite2	AS037
AgateH2.06G088600	antiquewhite2	AS037
AgateH2.14G066800	antiquewhite2	AS037
AgateH2.18G094100	antiquewhite2	AS037
AgateH2.15G021000	antiquewhite2	AS037
AgateH2.19G028900	antiquewhite2	AS037
AgateH2.28G035200	antiquewhite2	AS037
AgateH2.22G049000	bisque4	AS027
AgateH2.04G130500	bisque4	AS027
AgateH2.03G210500	bisque4	AS027
AgateH2.02G148000	bisque4	AS027
AgateH2.04G138000	bisque4	AS027
AgateH2.26G053200	bisque4	AS027
AgateH2.14G101000	bisque4	AS027
AgateH2.16G060100	bisque4	AS027
AgateH2.08G201000	bisque4	AS027
AgateH2.03G217500	bisque4	AS027
AgateH2.02G181300	bisque4	AS027
AgateH2.03G125900	bisque4	AS027
AgateH2.28G016800	bisque4	AS027
AgateH2.03G217300	bisque4	AS027
AgateH2.03G210400	bisque4	AS027
AgateH2.06G101000	bisque4	AS027
AgateH2.03G359200	bisque4	AS027
AgateH2.03G211400	bisque4	AS027
AgateH2.03G199300	bisque4	AS027
AgateH2.16G112800	bisque4	AS027
AgateH2.03G133700	bisque4	AS027
AgateH2.12G076400	bisque4	AS027
AgateH2.21G015400	bisque4	AS027
AgateH2.03G211300	bisque4	AS027
AgateH2.24G064900	bisque4	AS027
AgateH2.22G049300	bisque4	AS027
AgateH2.16G111800	bisque4	AS027
AgateH2.03G216500	bisque4	AS027
AgateH2.09G152200	bisque4	AS027
AgateH2.11G008800	bisque4	AS027
AgateH2.03G217900	bisque4	AS027
AgateH2.01G328900	bisque4	AS027
AgateH2.20G048300	bisque4	AS027
AgateH2.03G029500	bisque4	AS027
AgateH2.03G151200	bisque4	AS027
AgateH2.07G019300	bisque4	AS027
AgateH2.27G007600	bisque4	AS027
AgateH2.05G168100	bisque4	AS027
AgateH2.09G151400	bisque4	AS027
AgateH2.01G335200	bisque4	AS027
AgateH2.02G079000	bisque4	AS027
AgateH2.18G056000	bisque4	AS027
AgateH2.01G305700	bisque4	AS027
AgateH2.03G200900	bisque4	AS027
AgateH2.09G151500	bisque4	AS027
AgateH2.12G049900	bisque4	AS027
AgateH2.03G201100	bisque4	AS027
AgateH2.27G028500	bisque4	AS027
AgateH2.06G006600	bisque4	AS027
AgateH2.03G151300	bisque4	AS027
AgateH2.02G226700	bisque4	AS027
AgateH2.04G094700	bisque4	AS027
AgateH2.01G335700	bisque4	AS027
AgateH2.03G205000	bisque4	AS027
AgateH2.03G201000	bisque4	AS027
AgateH2.08G168500	bisque4	AS027
AgateH2.05G080000	bisque4	AS027
AgateH2.19G050800	bisque4	AS027
AgateH2.09G149800	bisque4	AS027
AgateH2.09G142800	bisque4	AS027
AgateH2.05G218500	bisque4	AS027
AgateH2.10G087800	bisque4	AS027
AgateH2.21G064400	bisque4	AS027
AgateH2.03G208700	bisque4	AS027
AgateH2.09G021600	bisque4	AS027
AgateH2.04G245300	bisque4	AS027
AgateH2.03G205800	bisque4	AS027
AgateH2.14G125900	bisque4	AS027
AgateH2.03G218300	bisque4	AS027
AgateH2.01G200700	bisque4	AS027
AgateH2.20G042400	bisque4	AS027
AgateH2.01G334600	bisque4	AS027
AgateH2.09G112500	bisque4	AS027
AgateH2.12G142300	bisque4	AS027
AgateH2.21G064300	bisque4	AS027
AgateH2.03G200400	bisque4	AS027
AgateH2.06G210300	bisque4	AS027
AgateH2.19G049100	bisque4	AS027
AgateH2.04G286800	bisque4	AS027
AgateH2.08G217300	bisque4	AS027
AgateH2.03G214400	bisque4	AS027
AgateH2.03G209000	bisque4	AS027
AgateH2.04G130800	bisque4	AS027
AgateH2.03G214900	bisque4	AS027
AgateH2.03G269700	bisque4	AS027
AgateH2.04G024400	bisque4	AS027
AgateH2.10G054100	bisque4	AS027
AgateH2.22G027000	bisque4	AS027
AgateH2.03G066600	bisque4	AS027
AgateH2.05G128800	bisque4	AS027
AgateH2.27G031700	bisque4	AS027
AgateH2.06G045200	bisque4	AS027
AgateH2.19G049600	bisque4	AS027
AgateH2.04G132500	bisque4	AS027
AgateH2.09G149100	bisque4	AS027
AgateH2.04G131200	bisque4	AS027
AgateH2.07G057700	bisque4	AS027
AgateH2.07G017300	bisque4	AS027
AgateH2.03G163800	bisque4	AS027
AgateH2.06G125100	bisque4	AS027
AgateH2.26G008800	bisque4	AS027
AgateH2.01G007900	bisque4	AS027
AgateH2.23G020200	bisque4	AS027
AgateH2.03G213900	bisque4	AS027
AgateH2.04G214900	bisque4	AS027
AgateH2.03G207100	bisque4	AS027
AgateH2.03G208000	bisque4	AS027
AgateH2.19G036600	bisque4	AS027
AgateH2.12G113700	bisque4	AS027
AgateH2.09G148800	bisque4	AS027
AgateH2.04G131700	bisque4	AS027
AgateH2.03G206700	bisque4	AS027
AgateH2.09G117400	bisque4	AS027
AgateH2.06G207000	bisque4	AS027
AgateH2.03G214700	bisque4	AS027
AgateH2.08G034500	bisque4	AS027
AgateH2.04G085500	bisque4	AS027
AgateH2.03G206600	bisque4	AS027
AgateH2.17G074900	bisque4	AS027
AgateH2.03G134500	bisque4	AS027
AgateH2.17G010000	bisque4	AS027
AgateH2.03G218100	bisque4	AS027
AgateH2.05G281700	bisque4	AS027
AgateH2.09G130100	bisque4	AS027
AgateH2.17G075300	bisque4	AS027
AgateH2.03G214800	bisque4	AS027
AgateH2.10G035700	bisque4	AS027
AgateH2.09G035500	bisque4	AS027
AgateH2.01G331200	bisque4	AS027
AgateH2.04G132200	bisque4	AS027
AgateH2.20G020500	bisque4	AS027
AgateH2.03G206200	bisque4	AS027
AgateH2.03G343100	bisque4	AS027
AgateH2.04G207600	bisque4	AS027
AgateH2.14G064100	bisque4	AS027
AgateH2.12G127500	bisque4	AS027
AgateH2.27G010100	bisque4	AS027
AgateH2.21G028300	black	AS064
AgateH2.04G014200	black	AS064
AgateH2.10G008400	black	AS064
AgateH2.09G008500	black	AS064
AgateH2.01G010800	black	AS064
AgateH2.12G051100	black	AS064
AgateH2.13G095100	black	AS064
