Gene_ID	module	ID
AgateH2.04G036600	darkmagenta	AS032
AgateH2.17G040200	darkmagenta	AS032
AgateH2.21G084900	darkmagenta	AS032
AgateH2.07G111500	darkmagenta	AS032
AgateH2.22G003100	darkmagenta	AS032
AgateH2.04G085700	darkmagenta	AS032
AgateH2.14G024000	darkmagenta	AS032
AgateH2.06G074700	darkmagenta	AS032
AgateH2.04G215600	darkmagenta	AS032
AgateH2.24G011400	darkmagenta	AS032
AgateH2.08G222600	darkmagenta	AS032
AgateH2.14G061200	darkmagenta	AS032
AgateH2.03G236700	darkmagenta	AS032
AgateH2.24G042300	darkmagenta	AS032
AgateH2.14G120800	darkmagenta	AS032
AgateH2.12G037000	darkmagenta	AS032
AgateH2.01G152100	darkmagenta	AS032
AgateH2.14G094900	darkmagenta	AS032
AgateH2.19G065100	darkmagenta	AS032
AgateH2.29G017000	darkmagenta	AS032
AgateH2.05G167200	darkmagenta	AS032
AgateH2.19G061500	darkmagenta	AS032
AgateH2.18G011500	darkmagenta	AS032
AgateH2.09G019500	darkmagenta	AS032
AgateH2.15G024900	darkmagenta	AS032
AgateH2.04G060300	darkmagenta	AS032
AgateH2.10G077900	darkmagenta	AS032
AgateH2.08G056100	darkmagenta	AS032
AgateH2.05G215600	darkmagenta	AS032
AgateH2.18G097100	darkmagenta	AS032
AgateH2.02G065500	darkmagenta	AS032
AgateH2.16G032300	darkmagenta	AS032
AgateH2.03G297500	darkmagenta	AS032
AgateH2.02G264500	darkmagenta	AS032
AgateH2.20G059900	darkmagenta	AS032
AgateH2.16G040800	darkmagenta	AS032
AgateH2.03G039600	darkmagenta	AS032
AgateH2.03G336900	darkmagenta	AS032
AgateH2.14G002600	darkmagenta	AS032
AgateH2.28G006900	darkmagenta	AS032
AgateH2.15G010000	darkmagenta	AS032
AgateH2.01G252800	darkmagenta	AS032
AgateH2.10G031900	darkmagenta	AS032
AgateH2.25G032300	darkmagenta	AS032
AgateH2.01G328000	darkmagenta	AS032
AgateH2.05G055500	darkmagenta	AS032
AgateH2.01G231500	darkmagenta	AS032
AgateH2.06G025500	darkmagenta	AS032
AgateH2.05G026200	darkmagenta	AS032
AgateH2.08G016500	darkmagenta	AS032
AgateH2.15G096400	darkmagenta	AS032
AgateH2.01G201600	darkmagenta	AS032
AgateH2.04G106500	darkmagenta	AS032
AgateH2.23G009400	darkmagenta	AS032
AgateH2.16G037300	darkmagenta	AS032
AgateH2.08G075500	darkmagenta	AS032
AgateH2.16G085600	darkmagenta	AS032
AgateH2.26G044300	darkmagenta	AS032
AgateH2.22G033500	darkmagenta	AS032
AgateH2.08G184100	darkmagenta	AS032
AgateH2.28G019600	darkmagenta	AS032
AgateH2.04G165100	darkmagenta	AS032
AgateH2.03G255300	darkmagenta	AS032
AgateH2.22G030900	darkmagenta	AS032
AgateH2.24G001600	darkmagenta	AS032
AgateH2.14G064500	darkmagenta	AS032
AgateH2.04G005100	darkmagenta	AS032
AgateH2.08G150400	darkmagenta	AS032
AgateH2.11G090200	darkmagenta	AS032
AgateH2.14G135400	darkmagenta	AS032
AgateH2.21G047900	darkmagenta	AS032
AgateH2.13G041800	darkmagenta	AS032
AgateH2.06G119600	darkmagenta	AS032
AgateH2.15G053100	darkmagenta	AS032
AgateH2.08G134500	darkmagenta	AS032
AgateH2.05G271000	darkmagenta	AS032
AgateH2.03G280700	darkmagenta	AS032
AgateH2.03G238700	darkmagenta	AS032
AgateH2.04G025200	darkmagenta	AS032
AgateH2.23G007100	darkmagenta	AS032
AgateH2.24G009400	darkmagenta	AS032
AgateH2.01G193600	darkmagenta	AS032
AgateH2.05G248200	darkmagenta	AS032
AgateH2.19G058400	darkmagenta	AS032
AgateH2.05G023400	darkmagenta	AS032
AgateH2.11G089600	darkmagenta	AS032
AgateH2.01G145700	darkmagenta	AS032
AgateH2.21G072600	darkmagenta	AS032
AgateH2.06G010900	darkmagenta	AS032
AgateH2.12G115000	darkmagenta	AS032
AgateH2.03G165900	darkmagenta	AS032
AgateH2.10G061800	darkmagenta	AS032
AgateH2.1Z016600	darkmagenta	AS032
AgateH2.12G070000	darkmagenta	AS032
AgateH2.08G178400	darkmagenta	AS032
AgateH2.06G154600	darkmagenta	AS032
AgateH2.12G025300	darkmagenta	AS032
AgateH2.04G042800	darkmagenta	AS032
AgateH2.09G080500	darkmagenta	AS032
AgateH2.11G027700	darkmagenta	AS032
AgateH2.29G038800	darkmagenta	AS032
