Gene_ID	module	ID
AT4G29680	cyan	AT023
AT3G63510	cyan	AT023
AT5G50110	cyan	AT023
AT5G10080	cyan	AT023
AT4G28910	cyan	AT023
AT3G49530	cyan	AT023
AT2G46440	cyan	AT023
AT3G20670	cyan	AT023
AT5G18660	cyan	AT023
AT1G20780	cyan	AT023
AT1G47420	cyan	AT023
AT1G27530	cyan	AT023
AT3G57787	cyan	AT023
AT3G62060	cyan	AT023
AT2G41090	cyan	AT023
AT2G18330	cyan	AT023
AT2G02590	cyan	AT023
AT4G00290	cyan	AT023
AT2G23350	cyan	AT023
AT1G21720	cyan	AT023
AT5G65360	cyan	AT023
AT1G54040	cyan	AT023
AT3G27280	cyan	AT023
AT3G47810	cyan	AT023
AT3G18580	cyan	AT023
AT4G25150	cyan	AT023
AT3G22630	cyan	AT023
AT1G19240	cyan	AT023
AT5G42150	cyan	AT023
AT3G09710	cyan	AT023
AT1G71850	cyan	AT023
AT1G01080	cyan	AT023
AT2G28080	cyan	AT023
AT1G77510	cyan	AT023
AT5G17840	cyan	AT023
AT1G05630	cyan	AT023
AT1G55840	cyan	AT023
AT4G29210	cyan	AT023
AT5G59870	cyan	AT023
AT4G18975	cyan	AT023
AT3G61150	cyan	AT023
AT1G15790	cyan	AT023
AT5G46230	cyan	AT023
AT2G17120	cyan	AT023
AT1G56460	cyan	AT023
AT1G29030	cyan	AT023
AT3G13150	cyan	AT023
AT3G20540	cyan	AT023
AT1G70350	cyan	AT023
AT3G05120	cyan	AT023
AT4G18440	cyan	AT023
AT5G58220	cyan	AT023
AT1G24147	cyan	AT023
AT1G19300	cyan	AT023
AT5G43500	cyan	AT023
AT3G09070	cyan	AT023
AT1G31500	cyan	AT023
AT3G24660	cyan	AT023
AT3G51420	cyan	AT023
AT3G18110	cyan	AT023
AT5G65670	cyan	AT023
AT1G26690	cyan	AT023
AT5G02740	cyan	AT023
AT5G22340	cyan	AT023
AT3G14980	cyan	AT023
AT5G55170	cyan	AT023
AT5G56530	cyan	AT023
AT1G69870	cyan	AT023
AT1G72275	cyan	AT023
AT2G24970	cyan	AT023
AT4G12310	cyan	AT023
AT1G45207	cyan	AT023
AT4G33540	cyan	AT023
AT2G19720	cyan	AT023
AT5G65440	cyan	AT023
AT4G32605	cyan	AT023
AT3G50650	cyan	AT023
AT3G48440	cyan	AT023
AT1G49480	cyan	AT023
AT5G47180	cyan	AT023
AT2G15820	cyan	AT023
AT5G20935	cyan	AT023
AT5G19750	cyan	AT023
AT4G29670	cyan	AT023
AT1G74560	cyan	AT023
AT3G60540	cyan	AT023
AT1G03060	cyan	AT023
AT5G02940	cyan	AT023
AT3G52960	cyan	AT023
AT2G38270	cyan	AT023
AT5G58710	cyan	AT023
AT1G21250	cyan	AT023
AT5G61520	cyan	AT023
AT1G04980	cyan	AT023
AT2G03480	cyan	AT023
AT5G66380	cyan	AT023
AT4G34480	cyan	AT023
AT1G06890	cyan	AT023
AT5G54900	cyan	AT023
AT5G02290	cyan	AT023
AT1G62660	cyan	AT023
AT3G46790	cyan	AT023
AT3G22231	cyan	AT023
AT4G30350	cyan	AT023
AT5G26680	cyan	AT023
AT2G05830	cyan	AT023
AT1G08640	cyan	AT023
AT3G62600	cyan	AT023
AT3G19990	cyan	AT023
AT3G24760	cyan	AT023
AT5G05140	cyan	AT023
AT3G44750	cyan	AT023
AT1G67120	cyan	AT023
AT5G43430	cyan	AT023
AT5G53550	cyan	AT023
AT3G17910	cyan	AT023
AT2G27020	cyan	AT023
AT4G13670	cyan	AT023
AT1G21650	cyan	AT023
AT2G31060	cyan	AT023
AT1G30680	cyan	AT023
AT3G28700	cyan	AT023
AT1G75840	cyan	AT023
AT1G26230	cyan	AT023
AT5G61580	cyan	AT023
AT5G57850	cyan	AT023
AT1G53530	cyan	AT023
AT2G20530	cyan	AT023
AT2G45740	cyan	AT023
AT1G31010	cyan	AT023
AT1G05560	cyan	AT023
AT5G27720	cyan	AT023
AT3G09690	cyan	AT023
AT1G78370	cyan	AT023
AT5G37310	cyan	AT023
AT5G63420	cyan	AT023
AT5G26860	cyan	AT023
AT4G34270	cyan	AT023
AT1G17890	cyan	AT023
AT3G10530	cyan	AT023
AT1G15810	cyan	AT023
AT5G51350	cyan	AT023
AT4G26630	cyan	AT023
AT1G03900	cyan	AT023
AT5G10760	cyan	AT023
AT3G06050	cyan	AT023
AT5G18900	cyan	AT023
AT2G16640	cyan	AT023
AT3G13860	cyan	AT023
AT2G35410	cyan	AT023
AT1G48210	cyan	AT023
AT3G03060	cyan	AT023
AT3G08590	cyan	AT023
AT5G03630	cyan	AT023
AT3G60210	cyan	AT023
AT2G32920	cyan	AT023
AT2G33600	cyan	AT023
AT5G61190	cyan	AT023
AT2G14560	cyan	AT023
AT5G56270	cyan	AT023
AT5G21940	cyan	AT023
AT3G44620	cyan	AT023
AT3G06790	cyan	AT023
AT5G36930	cyan	AT023
AT1G49750	cyan	AT023
AT2G02130	cyan	AT023
AT1G55850	cyan	AT023
AT5G63310	cyan	AT023
AT4G34870	cyan	AT023
AT1G51310	cyan	AT023
AT1G69770	cyan	AT023
AT3G13160	cyan	AT023
AT4G26500	cyan	AT023
AT1G71780	cyan	AT023
AT1G65700	cyan	AT023
AT3G46610	cyan	AT023
AT4G08520	cyan	AT023
AT1G76970	cyan	AT023
AT1G30280	cyan	AT023
AT5G51970	cyan	AT023
AT1G29240	cyan	AT023
AT3G59310	cyan	AT023
AT3G59980	cyan	AT023
AT3G02650	cyan	AT023
AT3G10970	cyan	AT023
AT3G19620	cyan	AT023
AT5G26667	cyan	AT023
AT1G56150	cyan	AT023
AT5G18820	cyan	AT023
AT3G51720	cyan	AT023
AT4G31810	cyan	AT023
AT2G33220	cyan	AT023
ATCG00540	cyan	AT023
AT4G26780	cyan	AT023
AT2G20850	cyan	AT023
AT3G63160	cyan	AT023
AT5G64220	cyan	AT023
AT5G65270	cyan	AT023
AT5G20020	cyan	AT023
AT5G60640	cyan	AT023
AT2G03120	cyan	AT023
AT5G64280	cyan	AT023
AT2G32380	cyan	AT023
AT3G15140	cyan	AT023
AT3G06300	cyan	AT023
AT2G34470	cyan	AT023
AT4G25270	cyan	AT023
AT5G67070	cyan	AT023
AT3G10190	cyan	AT023
AT3G28760	cyan	AT023
AT3G24590	cyan	AT023
AT1G79530	cyan	AT023
AT1G53880	cyan	AT023
AT3G54750	cyan	AT023
AT5G66520	cyan	AT023
AT4G15640	cyan	AT023
AT3G16980	cyan	AT023
AT5G53920	cyan	AT023
AT1G29160	cyan	AT023
AT1G55890	cyan	AT023
AT1G49740	cyan	AT023
AT4G33470	cyan	AT023
AT3G53170	cyan	AT023
AT4G04830	cyan	AT023
AT2G21870	cyan	AT023
AT4G33500	cyan	AT023
AT4G13510	cyan	AT023
AT5G18250	cyan	AT023
AT2G02880	cyan	AT023
AT1G30540	cyan	AT023
AT5G13450	cyan	AT023
AT3G49725	cyan	AT023
AT2G22910	cyan	AT023
AT3G51740	cyan	AT023
AT3G22300	cyan	AT023
AT5G58490	cyan	AT023
AT2G41820	cyan	AT023
AT1G36320	cyan	AT023
AT3G58730	cyan	AT023
AT5G28442	cyan	AT023
AT5G64670	cyan	AT023
AT1G07140	cyan	AT023
AT4G25740	cyan	AT023
AT1G26740	cyan	AT023
AT3G23170	cyan	AT023
AT1G07210	cyan	AT023
AT2G32520	cyan	AT023
AT1G10630	cyan	AT023
AT5G63290	cyan	AT023
AT1G72910	cyan	AT023
AT3G08990	cyan	AT023
AT3G25470	cyan	AT023
AT4G39460	cyan	AT023
AT1G16340	cyan	AT023
AT4G21520	cyan	AT023
AT1G50450	cyan	AT023
AT1G18170	cyan	AT023
AT2G37690	cyan	AT023
AT4G16720	cyan	AT023
AT4G20010	cyan	AT023
AT2G20060	cyan	AT023
AT4G02290	cyan	AT023
AT4G24175	cyan	AT023
AT5G63550	cyan	AT023
AT4G36280	cyan	AT023
AT2G40205	cyan	AT023
AT2G19470	cyan	AT023
AT3G10940	cyan	AT023
AT3G03220	cyan	AT023
AT1G72040	cyan	AT023
AT5G23050	cyan	AT023
AT3G25130	cyan	AT023
AT2G27680	cyan	AT023
AT4G34660	cyan	AT023
AT5G45660	cyan	AT023
AT3G01720	cyan	AT023
AT3G63170	cyan	AT023
AT3G53950	cyan	AT023
AT4G39860	cyan	AT023
AT2G39795	cyan	AT023
AT2G47910	cyan	AT023
AT1G63480	cyan	AT023
AT3G16110	cyan	AT023
AT1G18630	cyan	AT023
AT5G66950	cyan	AT023
AT3G13050	cyan	AT023
AT5G66450	cyan	AT023
AT5G42790	cyan	AT023
AT3G11320	cyan	AT023
AT3G16250	cyan	AT023
AT4G16630	cyan	AT023
AT1G77030	cyan	AT023
AT2G02500	cyan	AT023
AT1G27450	cyan	AT023
AT4G34390	cyan	AT023
AT5G19151	cyan	AT023
AT1G27480	cyan	AT023
