Gene_ID	module	ID
GlysoPI483463.16G111200	antiquewhite2	GM040
GlysoPI483463.20G089700	antiquewhite2	GM040
GlysoPI483463.11G024700	antiquewhite2	GM040
GlysoPI483463.07G013800	antiquewhite2	GM040
GlysoPI483463.03G043900	antiquewhite2	GM040
GlysoPI483463.05G026500	antiquewhite2	GM040
GlysoPI483463.09G190900	antiquewhite2	GM040
GlysoPI483463.13G102300	antiquewhite2	GM040
GlysoPI483463.01G189000	antiquewhite2	GM040
GlysoPI483463.14G094500	antiquewhite2	GM040
GlysoPI483463.16G057600	antiquewhite2	GM040
GlysoPI483463.08G025900	antiquewhite2	GM040
GlysoPI483463.02G244800	antiquewhite2	GM040
GlysoPI483463.06G086500	antiquewhite2	GM040
GlysoPI483463.10G215200	antiquewhite2	GM040
GlysoPI483463.04G174800	antiquewhite2	GM040
GlysoPI483463.16G114400	antiquewhite2	GM040
GlysoPI483463.07G058100	antiquewhite2	GM040
GlysoPI483463.06G092800	antiquewhite2	GM040
GlysoPI483463.13G294600	antiquewhite2	GM040
GlysoPI483463.11G110400	antiquewhite2	GM040
GlysoPI483463.08G263300	antiquewhite2	GM040
GlysoPI483463.11G132800	antiquewhite2	GM040
GlysoPI483463.11G046500	antiquewhite2	GM040
GlysoPI483463.05G198900	antiquewhite2	GM040
GlysoPI483463.17G119500	antiquewhite2	GM040
GlysoPI483463.03G194100	antiquewhite2	GM040
GlysoPI483463.05G002400	antiquewhite2	GM040
GlysoPI483463.12G193900	antiquewhite2	GM040
GlysoPI483463.02G114700	antiquewhite2	GM040
GlysoPI483463.02G051200	antiquewhite2	GM040
GlysoPI483463.13G229100	antiquewhite2	GM040
GlysoPI483463.19G084400	antiquewhite2	GM040
GlysoPI483463.16G007800	antiquewhite2	GM040
GlysoPI483463.17G052700	antiquewhite2	GM040
GlysoPI483463.16G033000	antiquewhite2	GM040
GlysoPI483463.08G285200	antiquewhite2	GM040
GlysoPI483463.09G211200	antiquewhite2	GM040
GlysoPI483463.12G055600	antiquewhite2	GM040
GlysoPI483463.16G083900	antiquewhite2	GM040
GlysoPI483463.13G064800	antiquewhite2	GM040
GlysoPI483463.03G176500	antiquewhite2	GM040
GlysoPI483463.18G176800	antiquewhite2	GM040
GlysoPI483463.01G110900	antiquewhite2	GM040
GlysoPI483463.20G171800	antiquewhite2	GM040
GlysoPI483463.06G126100	antiquewhite2	GM040
GlysoPI483463.18G180700	antiquewhite2	GM040
GlysoPI483463.06G071500	antiquewhite2	GM040
GlysoPI483463.15G027700	antiquewhite2	GM040
GlysoPI483463.14G000900	antiquewhite2	GM040
GlysoPI483463.20G121400	antiquewhite2	GM040
GlysoPI483463.05G106500	antiquewhite2	GM040
GlysoPI483463.20G134600	antiquewhite2	GM040
GlysoPI483463.13G049600	antiquewhite2	GM040
GlysoPI483463.11G127700	antiquewhite2	GM040
GlysoPI483463.04G208200	antiquewhite2	GM040
GlysoPI483463.01G018600	antiquewhite2	GM040
GlysoPI483463.12G173200	antiquewhite2	GM040
GlysoPI483463.10G241900	antiquewhite2	GM040
GlysoPI483463.06G045600	antiquewhite2	GM040
GlysoPI483463.11G138900	antiquewhite2	GM040
GlysoPI483463.02G199300	antiquewhite2	GM040
GlysoPI483463.11G000500	antiquewhite2	GM040
GlysoPI483463.01G124900	antiquewhite2	GM040
GlysoPI483463.04G185700	antiquewhite2	GM040
GlysoPI483463.06G034200	antiquewhite2	GM040
GlysoPI483463.17G191200	antiquewhite2	GM040
GlysoPI483463.06G016900	coral3	GM005
GlysoPI483463.18G231500	coral3	GM005
GlysoPI483463.08G158100	coral3	GM005
GlysoPI483463.02G184700	coral3	GM005
