Gene_ID	module	ID
LOC_Os07g08210	coral2	OS062
LOC_Os02g14874	coral2	OS062
LOC_Os01g14514	coral2	OS062
LOC_Os10g37830	coral2	OS062
LOC_Os04g41830	coral2	OS062
LOC_Os01g40840	coral2	OS062
LOC_Os06g24711	coral2	OS062
LOC_Os04g43880	coral2	OS062
LOC_Os03g09030	coral2	OS062
LOC_Os11g40610	coral2	OS062
LOC_Os05g49260	coral2	OS062
LOC_Os02g04680	coral2	OS062
LOC_Os09g08480	coral2	OS062
LOC_Os06g48510	coral2	OS062
LOC_Os12g07370	coral2	OS062
LOC_Os05g48340	coral2	OS062
LOC_Os08g15278	coral2	OS062
LOC_Os08g08200	coral2	OS062
LOC_Os02g55320	coral2	OS062
LOC_Os03g45779	coral2	OS062
LOC_Os02g32530	coral2	OS062
LOC_Os11g39190	coral2	OS062
LOC_Os06g43710	coral2	OS062
LOC_Os04g40540	coral2	OS062
LOC_Os02g24720	coral2	OS062
LOC_Os05g06530	coral2	OS062
LOC_Os03g07370	coral2	OS062
LOC_Os09g17610	coral2	OS062
LOC_Os02g33860	coral2	OS062
LOC_Os03g18930	coral2	OS062
LOC_Os03g47730	coral2	OS062
LOC_Os09g27660	coral2	OS062
LOC_Os02g20980	coral2	OS062
LOC_Os04g12744	coral2	OS062
LOC_Os03g08560	coral2	OS062
LOC_Os03g38490	coral2	OS062
LOC_Os01g13100	coral2	OS062
LOC_Os05g01750	coral2	OS062
LOC_Os12g39370	coral2	OS062
LOC_Os06g01950	coral2	OS062
LOC_Os03g58480	coral2	OS062
LOC_Os02g35720	coral2	OS062
LOC_Os09g04440	coral2	OS062
LOC_Os04g44920	coral2	OS062
LOC_Os12g37390	coral2	OS062
LOC_Os02g14780	coral2	OS062
LOC_Os04g41800	coral2	OS062
LOC_Os05g22960	coral2	OS062
LOC_Os02g13150	coral2	OS062
LOC_Os01g64770	coral2	OS062
LOC_Os08g07300	coral2	OS062
LOC_Os07g12390	coral2	OS062
LOC_Os03g58710	coral2	OS062
LOC_Os09g31310	coral2	OS062
LOC_Os01g43895	coral2	OS062
LOC_Os06g04580	coral2	OS062
LOC_Os03g56630	coral2	OS062
LOC_Os01g09410	coral2	OS062
LOC_Os02g37109	coral2	OS062
LOC_Os07g23520	coral2	OS062
LOC_Os01g40690	coral2	OS062
LOC_Os01g73580	coral2	OS062
LOC_Os09g32940	coral2	OS062
LOC_Os04g16832	coral2	OS062
LOC_Os07g09320	coral2	OS062
LOC_Os02g10060	coral2	OS062
LOC_Os09g32430	coral2	OS062
LOC_Os10g26850	coral2	OS062
LOC_Os02g49530	coral2	OS062
LOC_Os03g29910	coral2	OS062
LOC_Os11g11060	coral2	OS062
LOC_Os09g06570	coral2	OS062
LOC_Os08g03870	coral2	OS062
LOC_Os03g29540	coral2	OS062
LOC_Os01g10050	coral2	OS062
LOC_Os09g23894	coral2	OS062
LOC_Os02g45090	coral2	OS062
LOC_Os01g46200	coral2	OS062
LOC_Os07g08950	coral2	OS062
LOC_Os11g14440	coral2	OS062
LOC_Os10g42950	coral2	OS062
LOC_Os02g13400	coral2	OS062
LOC_Os01g12230	coral2	OS062
LOC_Os01g09890	coral2	OS062
LOC_Os04g57300	coral2	OS062
LOC_Os12g13120	coral2	OS062
LOC_Os07g47630	coral2	OS062
LOC_Os09g21770	coral2	OS062
LOC_Os03g24844	coral2	OS062
LOC_Os01g34060	coral2	OS062
LOC_Os02g39040	coral2	OS062
LOC_Os02g52900	coral2	OS062
LOC_Os03g48190	coral2	OS062
LOC_Os04g24610	coral2	OS062
LOC_Os04g51310	coral2	OS062
LOC_Os11g03260	coral2	OS062
LOC_Os07g40270	coral2	OS062
LOC_Os07g13370	coral2	OS062
LOC_Os07g35870	coral2	OS062
LOC_Os04g39950	coral2	OS062
LOC_Os03g55389	coral2	OS062
LOC_Os02g45120	coral2	OS062
LOC_Os08g05840	coral2	OS062
LOC_Os10g41490	coral2	OS062
LOC_Os01g56820	coral2	OS062
LOC_Os10g34350	coral2	OS062
LOC_Os04g20270	coral2	OS062
LOC_Os03g17170	coral2	OS062
LOC_Os08g34120	coral2	OS062
LOC_Os06g38470	coral2	OS062
LOC_Os09g04880	coral2	OS062
LOC_Os01g21120	coral2	OS062
LOC_Os04g41630	coral2	OS062
LOC_Os07g15190	coral2	OS062
LOC_Os07g46980	coral2	OS062
LOC_Os07g33300	coral2	OS062
LOC_Os08g32850	coral2	OS062
LOC_Os02g37960	coral2	OS062
LOC_Os03g49150	coral2	OS062
