Gene_ID	module	ID
Yucal.01G193000	coral	YA024
Yucal.03G259000	coral	YA024
Yucal.08G066500	coral	YA024
Yucal.03G215800	coral	YA024
Yucal.21G057300	coral	YA024
Yucal.03G140000	coral	YA024
Yucal.29G010700	coral	YA024
Yucal.06G123100	coral	YA024
Yucal.10G019200	coral	YA024
Yucal.10G062100	coral	YA024
Yucal.25G030800	coral	YA024
Yucal.22G057900	coral	YA024
Yucal.02G140100	coral	YA024
Yucal.08G048600	coral	YA024
Yucal.01G303700	coral	YA024
Yucal.14G070700	coral	YA024
Yucal.17G036000	coral	YA024
Yucal.03G110200	coral	YA024
Yucal.16G046000	coral	YA024
Yucal.05G158300	coral	YA024
Yucal.10G015700	coral	YA024
Yucal.10G039500	coral	YA024
Yucal.23G052500	coral	YA024
Yucal.24G062500	coral	YA024
Yucal.24G061700	coral	YA024
Yucal.02G184700	coral	YA024
Yucal.05G004000	coral	YA024
Yucal.22G065600	coral	YA024
Yucal.06G186700	coral	YA024
Yucal.06G105800	coral	YA024
Yucal.02G266600	coral	YA024
Yucal.12G053700	coral	YA024
Yucal.03G264900	coral	YA024
Yucal.28G009800	coral	YA024
Yucal.10G011700	coral	YA024
Yucal.03G223200	coral	YA024
Yucal.04G141600	coral	YA024
Yucal.24G063200	coral	YA024
Yucal.09G121200	coral	YA024
Yucal.01G213900	coral	YA024
Yucal.20G005700	coral	YA024
Yucal.06G108100	coral	YA024
Yucal.1Z299800	coral	YA024
Yucal.03G033600	coral	YA024
Yucal.05G033200	coral	YA024
Yucal.03G124400	coral	YA024
Yucal.10G088300	coral	YA024
Yucal.03G274700	coral	YA024
Yucal.08G076500	coral	YA024
Yucal.08G152800	coral	YA024
Yucal.06G208600	coral	YA024
Yucal.07G094500	coral	YA024
Yucal.27G008200	coral	YA024
Yucal.1Z137900	coral	YA024
Yucal.04G167100	coral	YA024
Yucal.16G000600	coral	YA024
Yucal.04G032000	coral	YA024
Yucal.12G065500	coral	YA024
Yucal.24G038000	coral	YA024
Yucal.05G231200	coral	YA024
Yucal.06G013800	coral	YA024
Yucal.04G152800	coral	YA024
Yucal.04G078200	coral	YA024
Yucal.10G096800	coral	YA024
Yucal.13G083800	coral	YA024
Yucal.14G029500	coral	YA024
Yucal.06G164500	coral	YA024
Yucal.12G081900	coral	YA024
Yucal.02G041400	coral	YA024
Yucal.04G275100	coral	YA024
Yucal.03G133800	coral	YA024
Yucal.10G094500	coral	YA024
Yucal.1Z177200	coral	YA024
Yucal.30G005800	coral	YA024
Yucal.01G217200	coral	YA024
Yucal.06G109300	coral	YA024
Yucal.11G089300	coral	YA024
Yucal.17G069200	coral	YA024
Yucal.05G195600	coral	YA024
Yucal.05G097900	coral	YA024
Yucal.18G025000	coral	YA024
Yucal.05G043600	coral	YA024
Yucal.13G025100	coral	YA024
Yucal.08G170600	coral	YA024
Yucal.08G044200	coral	YA024
Yucal.03G264600	coral	YA024
Yucal.05G036300	coral	YA024
Yucal.08G143100	coral	YA024
Yucal.15G030600	coral	YA024
