Gene_ID	module	ID
AT5G13760	antiquewhite4	AT055
AT2G29440	antiquewhite4	AT055
AT1G28280	antiquewhite4	AT055
AT4G18760	antiquewhite4	AT055
AT5G26220	antiquewhite4	AT055
AT5G01240	antiquewhite4	AT055
AT5G07110	antiquewhite4	AT055
AT3G48870	antiquewhite4	AT055
AT3G19130	antiquewhite4	AT055
AT1G51570	antiquewhite4	AT055
AT2G41800	antiquewhite4	AT055
AT1G47380	antiquewhite4	AT055
AT2G01420	antiquewhite4	AT055
AT3G51580	antiquewhite4	AT055
AT5G64410	antiquewhite4	AT055
AT4G24770	antiquewhite4	AT055
AT1G63220	antiquewhite4	AT055
AT1G18440	antiquewhite4	AT055
AT2G25735	antiquewhite4	AT055
AT5G45550	antiquewhite4	AT055
AT5G18280	antiquewhite4	AT055
AT5G03730	antiquewhite4	AT055
AT2G34355	antiquewhite4	AT055
AT4G29740	antiquewhite4	AT055
AT1G75550	antiquewhite4	AT055
AT1G49860	antiquewhite4	AT055
AT1G02920	antiquewhite4	AT055
AT4G02330	antiquewhite4	AT055
AT3G03050	antiquewhite4	AT055
AT1G68400	antiquewhite4	AT055
AT1G21830	antiquewhite4	AT055
AT3G46880	antiquewhite4	AT055
AT2G44790	antiquewhite4	AT055
AT3G24982	antiquewhite4	AT055
AT5G45470	antiquewhite4	AT055
AT5G62390	antiquewhite4	AT055
AT4G03120	antiquewhite4	AT055
AT4G24230	antiquewhite4	AT055
AT5G13710	antiquewhite4	AT055
AT5G45510	antiquewhite4	AT055
AT1G04040	antiquewhite4	AT055
AT1G36050	antiquewhite4	AT055
AT2G36310	antiquewhite4	AT055
AT1G11545	antiquewhite4	AT055
AT1G66940	antiquewhite4	AT055
AT5G14120	antiquewhite4	AT055
AT4G13340	antiquewhite4	AT055
AT2G28950	antiquewhite4	AT055
AT4G39220	antiquewhite4	AT055
AT4G18950	antiquewhite4	AT055
AT2G38120	antiquewhite4	AT055
AT1G78810	antiquewhite4	AT055
