Gene_ID	module	ID
GlysoPI483463.06G084200	antiquewhite4	GM029
GlysoPI483463.15G074500	antiquewhite4	GM029
GlysoPI483463.03G147200	antiquewhite4	GM029
GlysoPI483463.13G233200	antiquewhite4	GM029
GlysoPI483463.15G082900	antiquewhite4	GM029
GlysoPI483463.02G087400	antiquewhite4	GM029
GlysoPI483463.19G071300	antiquewhite4	GM029
GlysoPI483463.20G059900	antiquewhite4	GM029
GlysoPI483463.02G220800	antiquewhite4	GM029
GlysoPI483463.07G025200	antiquewhite4	GM029
GlysoPI483463.19G072100	antiquewhite4	GM029
GlysoPI483463.11G035500	antiquewhite4	GM029
GlysoPI483463.19G055200	antiquewhite4	GM029
GlysoPI483463.06G274700	antiquewhite4	GM029
GlysoPI483463.20G098900	antiquewhite4	GM029
GlysoPI483463.05G066500	antiquewhite4	GM029
GlysoPI483463.20G004600	antiquewhite4	GM029
GlysoPI483463.13G252700	antiquewhite4	GM029
GlysoPI483463.11G059100	antiquewhite4	GM029
GlysoPI483463.11G069100	antiquewhite4	GM029
GlysoPI483463.10G133900	antiquewhite4	GM029
GlysoPI483463.06G105300	antiquewhite4	GM029
GlysoPI483463.06G023100	antiquewhite4	GM029
GlysoPI483463.20G187800	antiquewhite4	GM029
GlysoPI483463.17G192100	antiquewhite4	GM029
GlysoPI483463.02G017300	antiquewhite4	GM029
GlysoPI483463.11G011600	antiquewhite4	GM029
GlysoPI483463.06G182900	antiquewhite4	GM029
GlysoPI483463.09G156400	antiquewhite4	GM029
GlysoPI483463.13G175100	antiquewhite4	GM029
GlysoPI483463.20G080500	antiquewhite4	GM029
GlysoPI483463.09G222500	antiquewhite4	GM029
GlysoPI483463.06G105200	antiquewhite4	GM029
GlysoPI483463.14G047800	antiquewhite4	GM029
GlysoPI483463.13G222900	antiquewhite4	GM029
GlysoPI483463.13G232900	antiquewhite4	GM029
GlysoPI483463.14G036000	antiquewhite4	GM029
GlysoPI483463.13G024100	antiquewhite4	GM029
GlysoPI483463.08G086500	antiquewhite4	GM029
GlysoPI483463.18G108900	antiquewhite4	GM029
GlysoPI483463.03G131400	antiquewhite4	GM029
GlysoPI483463.13G132000	antiquewhite4	GM029
GlysoPI483463.08G289100	antiquewhite4	GM029
GlysoPI483463.18G002600	antiquewhite4	GM029
GlysoPI483463.02G255700	antiquewhite4	GM029
GlysoPI483463.12G098400	antiquewhite4	GM029
GlysoPI483463.05G157100	antiquewhite4	GM029
GlysoPI483463.14G179700	antiquewhite4	GM029
GlysoPI483463.09G057200	antiquewhite4	GM029
GlysoPI483463.11G058600	antiquewhite4	GM029
GlysoPI483463.12G185400	antiquewhite4	GM029
GlysoPI483463.18G185300	antiquewhite4	GM029
GlysoPI483463.10G033800	antiquewhite4	GM029
GlysoPI483463.14G078500	antiquewhite4	GM029
GlysoPI483463.15G214700	antiquewhite4	GM029
GlysoPI483463.01G132200	antiquewhite4	GM029
GlysoPI483463.17G157000	antiquewhite4	GM029
GlysoPI483463.01G107700	antiquewhite4	GM029
GlysoPI483463.16G169800	antiquewhite4	GM029
GlysoPI483463.11G108600	antiquewhite4	GM029
GlysoPI483463.04G187600	antiquewhite4	GM029
GlysoPI483463.15G159000	antiquewhite4	GM029
GlysoPI483463.05G197200	antiquewhite4	GM029
GlysoPI483463.03G108300	antiquewhite4	GM029
GlysoPI483463.08G011200	antiquewhite4	GM029
GlysoPI483463.09G203900	antiquewhite4	GM029
GlysoPI483463.03G211300	antiquewhite4	GM029
GlysoPI483463.12G192900	antiquewhite4	GM029
GlysoPI483463.17G054700	antiquewhite4	GM029
GlysoPI483463.07G132400	antiquewhite4	GM029
GlysoPI483463.02G231900	antiquewhite4	GM029
GlysoPI483463.11G193700	antiquewhite4	GM029
GlysoPI483463.06G155700	antiquewhite4	GM029
GlysoPI483463.08G252100	antiquewhite4	GM029
GlysoPI483463.08G289500	antiquewhite4	GM029
GlysoPI483463.04G210200	antiquewhite4	GM029
GlysoPI483463.06G210400	antiquewhite4	GM029
GlysoPI483463.04G022300	antiquewhite4	GM029
GlysoPI483463.02G127300	antiquewhite4	GM029
GlysoPI483463.10G190100	antiquewhite4	GM029
GlysoPI483463.19G096300	antiquewhite4	GM029
GlysoPI483463.03G126300	antiquewhite4	GM029
GlysoPI483463.16G093700	antiquewhite4	GM029
GlysoPI483463.05G151700	antiquewhite4	GM029
GlysoPI483463.17G199300	antiquewhite4	GM029
GlysoPI483463.19G202900	antiquewhite4	GM029
GlysoPI483463.08G126200	antiquewhite4	GM029
GlysoPI483463.04G090700	antiquewhite4	GM029
GlysoPI483463.06G178400	antiquewhite4	GM029
GlysoPI483463.18G041900	antiquewhite4	GM029
GlysoPI483463.17G129600	antiquewhite4	GM029
GlysoPI483463.20G136400	antiquewhite4	GM029
GlysoPI483463.04G042600	antiquewhite4	GM029
GlysoPI483463.09G100700	antiquewhite4	GM029
GlysoPI483463.15G066600	antiquewhite4	GM029
GlysoPI483463.08G151300	antiquewhite4	GM029
GlysoPI483463.02G231300	antiquewhite4	GM029
GlysoPI483463.20G165500	antiquewhite4	GM029
GlysoPI483463.14G086400	antiquewhite4	GM029
GlysoPI483463.05G056200	antiquewhite4	GM029
GlysoPI483463.20G167200	antiquewhite4	GM029
GlysoPI483463.01G140600	antiquewhite4	GM029
GlysoPI483463.10G155600	antiquewhite4	GM029
GlysoPI483463.06G086400	antiquewhite4	GM029
GlysoPI483463.15G165300	antiquewhite4	GM029
GlysoPI483463.07G032000	antiquewhite4	GM029
GlysoPI483463.16G143400	antiquewhite4	GM029
GlysoPI483463.06G271400	antiquewhite4	GM029
GlysoPI483463.17G015500	antiquewhite4	GM029
GlysoPI483463.01G192500	antiquewhite4	GM029
GlysoPI483463.14G102300	antiquewhite4	GM029
GlysoPI483463.16G057900	antiquewhite4	GM029
GlysoPI483463.08G129600	antiquewhite4	GM029
GlysoPI483463.06G082500	antiquewhite4	GM029
GlysoPI483463.01G024100	antiquewhite4	GM029
GlysoPI483463.14G098900	antiquewhite4	GM029
