Gene_ID	module	ID
LOC_Os01g55799	bisque4	OS031
LOC_Os03g13140	bisque4	OS031
LOC_Os10g05940	bisque4	OS031
LOC_Os01g16240	bisque4	OS031
LOC_Os02g12180	bisque4	OS031
LOC_Os02g13370	bisque4	OS031
LOC_Os07g13530	bisque4	OS031
LOC_Os10g02300	bisque4	OS031
LOC_Os06g06470	bisque4	OS031
LOC_Os05g46230	bisque4	OS031
LOC_Os09g30250	bisque4	OS031
LOC_Os05g34950	bisque4	OS031
LOC_Os04g56030	bisque4	OS031
LOC_Os01g62610	bisque4	OS031
LOC_Os02g51950	bisque4	OS031
LOC_Os04g57850	bisque4	OS031
LOC_Os10g36100	bisque4	OS031
LOC_Os02g39910	bisque4	OS031
LOC_Os02g56300	bisque4	OS031
LOC_Os09g33810	bisque4	OS031
LOC_Os07g46060	bisque4	OS031
LOC_Os12g18120	bisque4	OS031
LOC_Os08g05970	bisque4	OS031
LOC_Os08g30060	bisque4	OS031
LOC_Os01g34390	bisque4	OS031
LOC_Os11g29210	bisque4	OS031
LOC_Os06g45110	bisque4	OS031
LOC_Os08g05980	bisque4	OS031
LOC_Os11g28530	bisque4	OS031
LOC_Os03g50340	bisque4	OS031
LOC_Os05g05670	bisque4	OS031
LOC_Os02g45880	bisque4	OS031
LOC_Os01g46610	bisque4	OS031
LOC_Os11g46960	bisque4	OS031
LOC_Os01g49190	bisque4	OS031
LOC_Os03g46200	bisque4	OS031
LOC_Os01g09100	bisque4	OS031
LOC_Os12g08210	bisque4	OS031
LOC_Os03g51250	bisque4	OS031
LOC_Os10g42230	bisque4	OS031
LOC_Os04g45130	bisque4	OS031
LOC_Os07g43800	bisque4	OS031
LOC_Os01g49780	bisque4	OS031
LOC_Os03g20600	bisque4	OS031
LOC_Os02g12150	bisque4	OS031
LOC_Os10g36160	bisque4	OS031
LOC_Os05g49200	bisque4	OS031
LOC_Os04g52190	bisque4	OS031
LOC_Os06g09450	bisque4	OS031
LOC_Os09g10940	bisque4	OS031
LOC_Os02g38440	bisque4	OS031
LOC_Os04g41260	bisque4	OS031
LOC_Os03g43760	bisque4	OS031
LOC_Os07g12200	bisque4	OS031
LOC_Os09g31080	bisque4	OS031
LOC_Os09g15760	bisque4	OS031
LOC_Os11g02200	bisque4	OS031
LOC_Os06g27590	bisque4	OS031
LOC_Os02g48640	bisque4	OS031
LOC_Os02g36400	bisque4	OS031
LOC_Os01g09300	bisque4	OS031
LOC_Os12g40490	bisque4	OS031
LOC_Os02g52230	bisque4	OS031
LOC_Os02g50430	bisque4	OS031
LOC_Os04g51050	bisque4	OS031
LOC_Os06g07869	bisque4	OS031
