Gene_ID	module	ID
Yucal.19G035100	blue	YA085
Yucal.06G098500	blue	YA085
Yucal.07G013200	blue	YA085
Yucal.06G046700	blue	YA085
Yucal.04G157000	blue	YA085
Yucal.26G036300	blue	YA085
Yucal.12G014800	blue	YA085
Yucal.05G102400	blue	YA085
Yucal.05G165800	blue	YA085
Yucal.1Z271400	blue	YA085
Yucal.28G010400	blue	YA085
Yucal.02G059800	blue	YA085
Yucal.05G123200	blue	YA085
Yucal.1Z259600	blue	YA085
Yucal.22G053900	blue	YA085
Yucal.20G063000	blue	YA085
Yucal.23G032100	blue	YA085
Yucal.01G253400	blue	YA085
Yucal.03G121400	blue	YA085
Yucal.03G142200	blue	YA085
Yucal.12G020700	blue	YA085
Yucal.08G044700	blue	YA085
Yucal.1Z019700	blue	YA085
Yucal.07G057100	blue	YA085
Yucal.08G216100	blue	YA085
Yucal.19G049900	blue	YA085
Yucal.12G062500	blue	YA085
Yucal.04G106300	blue	YA085
Yucal.03G060800	blue	YA085
Yucal.01G001500	blue	YA085
Yucal.06G077900	blue	YA085
Yucal.08G041400	blue	YA085
Yucal.03G049100	blue	YA085
Yucal.03G227100	blue	YA085
Yucal.04G168300	blue	YA085
Yucal.18G072800	blue	YA085
Yucal.10G133800	blue	YA085
Yucal.15G027600	blue	YA085
Yucal.17G077400	blue	YA085
Yucal.09G117800	blue	YA085
Yucal.10G008800	blue	YA085
Yucal.10G085300	blue	YA085
Yucal.10G021000	blue	YA085
Yucal.23G055700	blue	YA085
Yucal.03G151300	blue	YA085
Yucal.04G072400	blue	YA085
Yucal.01G218900	blue	YA085
Yucal.11G016600	blue	YA085
Yucal.08G199500	blue	YA085
Yucal.06G120400	blue	YA085
Yucal.02G301300	blue	YA085
Yucal.29G002600	blue	YA085
Yucal.1Z030900	blue	YA085
Yucal.05G100600	blue	YA085
Yucal.22G043800	blue	YA085
Yucal.05G083700	blue	YA085
Yucal.14G072400	blue	YA085
Yucal.02G233700	blue	YA085
Yucal.01G082400	blue	YA085
Yucal.07G065700	blue	YA085
Yucal.02G213400	blue	YA085
Yucal.12G106900	blue	YA085
Yucal.26G056700	blue	YA085
Yucal.28G035600	blue	YA085
Yucal.21G055400	blue	YA085
Yucal.03G211800	blue	YA085
Yucal.12G018900	blue	YA085
Yucal.26G049500	blue	YA085
Yucal.12G020800	blue	YA085
Yucal.1Z005900	blue	YA085
Yucal.03G105300	blue	YA085
Yucal.04G210600	blue	YA085
Yucal.08G003000	blue	YA085
Yucal.19G016000	blue	YA085
Yucal.03G117100	blue	YA085
Yucal.04G050700	blue	YA085
Yucal.1Z148400	blue	YA085
Yucal.26G013500	blue	YA085
Yucal.17G043100	blue	YA085
Yucal.03G204100	blue	YA085
Yucal.18G073500	blue	YA085
Yucal.03G120900	blue	YA085
Yucal.28G049400	blue	YA085
Yucal.08G179800	blue	YA085
Yucal.12G026400	blue	YA085
Yucal.04G255500	blue	YA085
Yucal.22G007000	blue	YA085
Yucal.09G003200	blue	YA085
Yucal.17G077500	blue	YA085
Yucal.14G047600	blue	YA085
Yucal.18G049600	blue	YA085
Yucal.1Z298800	blue	YA085
Yucal.14G004700	blue	YA085
Yucal.18G078700	blue	YA085
Yucal.25G056500	blue	YA085
Yucal.03G217000	blue	YA085
Yucal.01G276700	blue	YA085
Yucal.09G171200	blue	YA085
Yucal.08G128600	blue	YA085
Yucal.10G056000	blue	YA085
Yucal.11G032200	blue	YA085
Yucal.17G053300	blue	YA085
Yucal.28G035700	blue	YA085
Yucal.04G097800	blue	YA085
Yucal.26G048200	blue	YA085
Yucal.03G149900	blue	YA085
Yucal.1Z044400	blue	YA085
Yucal.08G187400	blue	YA085
Yucal.03G025300	blue	YA085
Yucal.09G041400	blue	YA085
Yucal.11G048900	blue	YA085
Yucal.12G002100	blue	YA085
Yucal.18G017700	blue	YA085
Yucal.09G072400	blue	YA085
Yucal.03G117200	blue	YA085
Yucal.05G106400	blue	YA085
Yucal.08G053600	blue	YA085
Yucal.22G021200	blue	YA085
