Gene_ID	module	ID
YucfiPri.19G066800	antiquewhite2	YF003
YucfiPri.08G191200	antiquewhite2	YF003
YucfiPri.01G367100	antiquewhite2	YF003
YucfiPri.06G183900	antiquewhite2	YF003
YucfiPri.07G095400	antiquewhite2	YF003
YucfiPri.15G065300	antiquewhite2	YF003
YucfiPri.03G214100	antiquewhite2	YF003
YucfiPri.05G088900	antiquewhite2	YF003
YucfiPri.04G013400	antiquewhite2	YF003
YucfiPri.09G171800	antiquewhite2	YF003
YucfiPri.03G188800	antiquewhite2	YF003
YucfiPri.23G039800	antiquewhite2	YF003
YucfiPri.02G047800	antiquewhite2	YF003
YucfiPri.05G014900	antiquewhite2	YF003
YucfiPri.14G047900	antiquewhite2	YF003
YucfiPri.06G087100	antiquewhite2	YF003
YucfiPri.27G012200	antiquewhite2	YF003
YucfiPri.03G005200	antiquewhite2	YF003
YucfiPri.04G100700	antiquewhite2	YF003
YucfiPri.12G137000	antiquewhite2	YF003
YucfiPri.07G050200	antiquewhite2	YF003
YucfiPri.01G021800	antiquewhite2	YF003
YucfiPri.02G357800	antiquewhite2	YF003
YucfiPri.09G085800	antiquewhite2	YF003
YucfiPri.11G097600	antiquewhite2	YF003
YucfiPri.15G027200	antiquewhite2	YF003
YucfiPri.07G012600	antiquewhite2	YF003
YucfiPri.06G209600	antiquewhite2	YF003
YucfiPri.09G111400	antiquewhite2	YF003
YucfiPri.08G125800	antiquewhite2	YF003
YucfiPri.12G010300	antiquewhite2	YF003
YucfiPri.10G111200	antiquewhite2	YF003
YucfiPri.02G007600	antiquewhite2	YF003
YucfiPri.09G188300	antiquewhite2	YF003
YucfiPri.04G094300	antiquewhite2	YF003
YucfiPri.24G010500	antiquewhite2	YF003
YucfiPri.15G042000	antiquewhite2	YF003
YucfiPri.24G026400	antiquewhite2	YF003
YucfiPri.01G311400	antiquewhite2	YF003
YucfiPri.17G063800	antiquewhite2	YF003
YucfiPri.05G212400	antiquewhite2	YF003
YucfiPri.09G199100	antiquewhite2	YF003
YucfiPri.20G035200	antiquewhite2	YF003
YucfiPri.02G046000	antiquewhite2	YF003
YucfiPri.05G147500	antiquewhite2	YF003
YucfiPri.03G266700	antiquewhite2	YF003
YucfiPri.02G229700	antiquewhite2	YF003
YucfiPri.04G212400	antiquewhite2	YF003
YucfiPri.10G058900	antiquewhite2	YF003
YucfiPri.21G007000	antiquewhite2	YF003
YucfiPri.10G027900	antiquewhite2	YF003
YucfiPri.16G033400	antiquewhite2	YF003
YucfiPri.02G230500	antiquewhite2	YF003
YucfiPri.03G036400	antiquewhite2	YF003
YucfiPri.07G058300	antiquewhite2	YF003
YucfiPri.05G259200	antiquewhite2	YF003
YucfiPri.01G031100	antiquewhite2	YF003
YucfiPri.07G003700	antiquewhite2	YF003
