Gene_ID	module
AgateH2.01G000100	magenta
AgateH2.01G000200	darkgreen
AgateH2.01G000400	thistle2
AgateH2.01G000700	black
AgateH2.01G000900	paleturquoise
AgateH2.01G001300	darkturquoise
AgateH2.01G001400	orangered4
AgateH2.01G001500	blue
AgateH2.01G001800	black
AgateH2.01G001900	red
AgateH2.01G002000	red
AgateH2.01G002300	purple
AgateH2.01G002400	lightcoral
AgateH2.01G002500	magenta4
AgateH2.01G002600	mediumpurple2
AgateH2.01G002700	lightsteelblue1
AgateH2.01G002800	blue
AgateH2.01G002900	brown
AgateH2.01G003100	salmon2
AgateH2.01G003200	brown
AgateH2.01G003300	brown
AgateH2.01G003400	lightsteelblue1
AgateH2.01G003500	blue
AgateH2.01G003600	darkorange2
AgateH2.01G003700	orangered4
AgateH2.01G003800	orangered4
AgateH2.01G003900	darkturquoise
AgateH2.01G004000	darkorange2
AgateH2.01G004200	orangered4
AgateH2.01G004300	firebrick3
AgateH2.01G004400	saddlebrown
AgateH2.01G004600	brown2
AgateH2.01G004700	firebrick3
AgateH2.01G005000	violet
AgateH2.01G005200	orangered1
AgateH2.01G005300	blue
AgateH2.01G005400	purple
AgateH2.01G005500	magenta4
AgateH2.01G005600	navajowhite2
AgateH2.01G005700	ivory
AgateH2.01G006000	yellowgreen
AgateH2.01G006100	sienna3
AgateH2.01G006300	brown
AgateH2.01G006500	lightyellow
AgateH2.01G006700	firebrick3
AgateH2.01G006800	green
AgateH2.01G006900	black
AgateH2.01G007000	darkturquoise
AgateH2.01G007100	orangered4
AgateH2.01G007200	royalblue
AgateH2.01G007300	orangered4
AgateH2.01G007400	royalblue
AgateH2.01G007500	black
AgateH2.01G007800	darkturquoise
AgateH2.01G007900	bisque4
AgateH2.01G008000	green
AgateH2.01G008500	lightpink3
AgateH2.01G008600	firebrick4
AgateH2.01G008700	magenta
AgateH2.01G009100	maroon
AgateH2.01G009200	white
AgateH2.01G009300	floralwhite
AgateH2.01G009500	magenta
AgateH2.01G009700	floralwhite
AgateH2.01G009800	firebrick4
AgateH2.01G009900	firebrick3
AgateH2.01G010000	magenta
AgateH2.01G010100	blue2
AgateH2.01G010200	orangered4
AgateH2.01G010500	antiquewhite4
AgateH2.01G010600	firebrick3
AgateH2.01G010800	black
AgateH2.01G010900	lightyellow
AgateH2.01G011000	lightcyan1
AgateH2.01G011100	cyan
AgateH2.01G011200	navajowhite1
AgateH2.01G011300	firebrick4
AgateH2.01G011500	lightpink4
AgateH2.01G011600	mediumpurple3
AgateH2.01G011900	floralwhite
AgateH2.01G012100	palevioletred3
AgateH2.01G012300	brown
AgateH2.01G012500	magenta
AgateH2.01G012600	orange
AgateH2.01G012700	orange
AgateH2.01G012800	green
AgateH2.01G013300	orangered4
AgateH2.01G013400	brown
AgateH2.01G014000	firebrick4
AgateH2.01G014200	red
AgateH2.01G014300	plum2
AgateH2.01G014400	palevioletred2
AgateH2.01G014600	darkorange2
AgateH2.01G014900	maroon
AgateH2.01G015000	ivory
